position,player,team,age,total_value,avg_year,total_guaranteed,fully_guaranteed,free_agency,MAX,MIN,sum,sumif,sumifs,If,ifs,len,left,right,trim,concatenate,substitute,substitute,xlookup,vlookup
right-tackle,Germain Ifedi,Seahawks,25,8265106,2066277,6688045,6688045,2020 UFA,,,,,,Young,#N/A,13,Germai,hawks,Germain Ifedi,Vikings - Rashod Hill,Vikings - Rashod Hill,,,
right-tackle,Rashod Hill,Vikings,27,2025000,2025000,0,0,2020 UFA,,,,,,Young,#N/A,11,Rashod,kings,Rashod Hill,Jaguars - Jawaan Taylor,Jaguars - Jawaan Taylor,,,
right-tackle,Jawaan Taylor,Jaguars,22,7843422,1960856,5722577,5722577,2023 UFA,,,,,,Young,#N/A,13,Jawaan,guars,Jawaan Taylor,Raiders - Denzelle Good,Raiders - Denzelle Good,,,
right-tackle,Denzelle Good,Raiders,28,1800000,1800000,500000,500000,2020 UFA,,,,,,Young,#N/A,13,Denzel,iders,Denzelle Good,Rams - Aaron Donald,Rams - Aaron Donald,,,
defensive-line,Aaron Donald,Rams,28,135000000,22500000,86892000,50000000,2025 UFA,,,,,,Young,#N/A,12,Aaron ,Rams,Aaron Donald,Texans - Jadeveon Clowney,Texans - Jadeveon Clowney,,,
3-4-outside-linebacker,Jadeveon Clowney,Texans,26,15967200,15967200,15967200,0,2020 UFA,,,,,,Young,#N/A,16,Jadeve,exans,Jadeveon Clowney,Packers - Preston Smith,Packers - Preston Smith,,,
3-4-outside-linebacker,Preston Smith,Packers,27,52000000,13000000,16000000,16000000,2023 UFA,,,,,,Young,#N/A,13,Presto,ckers,Preston Smith,Redskins - Ryan Kerrigan,Redskins - Ryan Kerrigan,,,
3-4-outside-linebacker,Ryan Kerrigan,Redskins,31,57500000,11500000,23788000,23788000,2021 UFA,,,,,,old,#N/A,13,Ryan K,skins,Ryan Kerrigan,Titans - Cameron Wake,Titans - Cameron Wake,,,
3-4-outside-linebacker,Cameron Wake,Titans,37,23000000,7666667,9750000,7250000,2022 UFA,,,,,,old,#N/A,12,Camero,itans,Cameron Wake,Broncos - Bradley Chubb,Broncos - Bradley Chubb,,,
3-4-outside-linebacker,Bradley Chubb,Broncos,23,27271240,6817810,27271240,27271240,2022 UFA,,,,,,Young,#N/A,13,Bradle,oncos,Bradley Chubb,Texans - Whitney Mercilus,Texans - Whitney Mercilus,,,
3-4-outside-linebacker,Whitney Mercilus,Texans,29,26000000,6500000,10681012,10681012,2020 UFA,,,,,,Young,#N/A,16,Whitne,exans,Whitney Mercilus,Giants - Kareem Martin,Giants - Kareem Martin,,,
3-4-outside-linebacker,Kareem Martin,Giants,27,15000000,5000000,7250000,7250000,2021 UFA,,,,,,Young,#N/A,13,Kareem,iants,Kareem Martin,Rams - Clay Matthews,Rams - Clay Matthews,,,
3-4-outside-linebacker,Clay Matthews,Rams,33,9250000,4625000,5500000,5500000,2021 UFA,,,,,,old,#N/A,13,Clay M,Rams,Clay Matthews,Titans - Dennis Kelly,Titans - Dennis Kelly,,,
right-tackle,Dennis Kelly,Titans,29,3050000,1525000,550000,400000,2020 UFA,,,,,,Young,#N/A,12,Dennis,itans,Dennis Kelly,Jets - Brent Qvale,Jets - Brent Qvale,,,
right-tackle,Brent Qvale,Jets,28,1400000,1400000,550000,550000,2020 UFA,,,,,,Young,#N/A,11,Brent ,Jets,Brent Qvale,Texans - Max Scharping,Texans - Max Scharping,,,
right-tackle,Max Scharping,Texans,23,50268088,1267022,2926248,2926248,2023 UFA,,,,,,Young,#N/A,13,Max Sc,exans,Max Scharping,Vikings - Brian O’Neill,Vikings - Brian OaNeill,,,
right-tackle,Brian O’Neill,Vikings,24,4406640,1101660,2145593,2145593,2022 UFA,,,,,,Young,#N/A,15,Brian ,kings,Brian O’Neill,Panthers - Taylor Moton,Panthers - Taylor Moton,,,
right-tackle,Taylor Moton,Panthers,25,4158150,1039538,1877633,1877633,2021 UFA,,,,,,Young,#N/A,12,Taylor,thers,Taylor Moton,Bears - Khalil Mack,Bears - Khalil Mack,,,
linebacker,Khalil Mack,Bears,28,141000000,23500000,90000000,60000000,2025 UFA,,,,,,Young,#N/A,11,Khalil,Bears,Khalil Mack,Cowboys - Demarcus Lawrence,Cowboys - Demarcus Lawrence,,,
defensive-line,Demarcus Lawrence,Cowboys,27,105000000,21000000,65000000,48000000,2024 UFA,,,,,,Young,#N/A,17,Demarc,wboys,Demarcus Lawrence,Chiefs - Frank Clark,Chiefs - Frank Clark,,,
defensive-line,Frank Clark,Chiefs,26,104000000,20800000,62305000,43805000,2024 UFA,,,,,,Young,#N/A,11,Frank ,hiefs,Frank Clark,Lions - Trey Flowers,Lions - Trey Flowers,,,
defensive-line,Trey Flowers,Lions,26,90000000,18000000,56000000,50000000,2024 UFA,,,,,,Young,#N/A,12,Trey F,Lions,Trey Flowers,Eagles - Fletcher Cox,Eagles - Fletcher Cox,,,
defensive-line,Fletcher Cox,Eagles,29,102600000,17100000,63299000,36299000,2023 Void,,,,,,Young,#N/A,12,Fletch,agles,Fletcher Cox,49ers - Dee Ford,49ers - Dee Ford,,,
defensive-line,Dee Ford,49ers,28,85000000,17000000,45000000,19750000,2024 UFA,,,,,,Young,#N/A,8,Dee Fo,49ers,Dee Ford,Steelers - Anthony Chickillo,Steelers - Anthony Chickillo,,,
3-4-outside-linebacker,Anthony Chickillo,Steelers,27,8000000,4000000,2195000,2195000,2021 UFA,,,,,,Young,#N/A,17,Anthon,elers,Anthony Chickillo,Packers - Rashan Gary,Packers - Rashan Gary,,,
3-4-outside-linebacker,Rashan Gary,Packers,22,15877312,3969328,15877312,15877312,2023 UFA,,,,,,Young,#N/A,11,Rashan,ckers,Rashan Gary,Bears - Leonard Floyd,Bears - Leonard Floyd,,,
3-4-outside-linebacker,Leonard Floyd,Bears,27,15782990,3945748,15782990,15782990,2021 UFA,,,,,,Young,#N/A,13,Leonar,Bears,Leonard Floyd,Steelers - Bud Dupree,Steelers - Bud Dupree,,,
3-4-outside-linebacker,Bud Dupree,Steelers,26,18454286,3690598,8632701,8632701,2020 UFA,,,,,,Young,#N/A,10,Bud Du,elers,Bud Dupree,Raiders - Brandon Parker,Raiders - Brandon Parker,,,
right-tackle,Brandon Parker,Raiders,24,4095336,1023834,1058424,1058424,2022 UFA,,,,,,Young,#N/A,14,Brando,iders,Brandon Parker,Colts - J’Marcus Webb,Colts - JaMarcus Webb,,,
right-tackle,J’Marcus Webb,Colts,31,1020000,1020000,90000,90000,2020 UFA,,,,,,old,#N/A,15,J’Ma,Colts,J’Marcus Webb,Jaguars - Cedric Ogbuehi,Jaguars - Cedric Ogbuehi,,,
