position,player,team,age,total_value,avg_year,total_guaranteed,fully_guaranteed,free_agency,MAX,MIN,sum,sumif,sumifs,If,ifs,len,left,right,trim,concatenate,substitute,substitute,xlookup,vlookup
cornerback,Sherrick McManis,Bears,32,3500000,1750000,1100000,1100000,2020 UFA,,,,,,old,#N/A,16,Sherri,Bears,Sherrick McManis,Jets - James Burgess,Jets - James Burgess,,,
4-3-outside-linebacker,James Burgess,Jets,25,645000,645000,0,0,2020 ERFA,,,,,,Young,#N/A,13,James ,Jets,James Burgess,Buccaneers - Devante Bond,Buccaneers - Devante Bond,,,
4-3-outside-linebacker,Devante Bond,Buccaneers,26,645000,645000,0,0,2020 UFA,,,,,,Young,#N/A,12,Devant,neers,Devante Bond,Bengals - Jordan Evans,Bengals - Jordan Evans,,,
4-3-outside-linebacker,Jordan Evans,Bengals,24,2556520,639130,156520,156520,2021 UFA,,,,,,Young,#N/A,12,Jordan,ngals,Jordan Evans,Jaguars - Leon Jacobs,Jaguars - Leon Jacobs,,,
4-3-outside-linebacker,Leon Jacobs,Jaguars,24,2550680,637670,90680,90680,2022 UFA,,,,,,Young,#N/A,11,Leon J,guars,Leon Jacobs,Colts - Zaire Franklin,Colts - Zaire Franklin,,,
4-3-outside-linebacker,Zaire Franklin,Colts,23,2547056,636764,87056,87056,2022 UFA,,,,,,Young,#N/A,14,Zaire ,Colts,Zaire Franklin,Chargers - Jatavis Brown,Chargers - Jatavis Brown,,,
4-3-outside-linebacker,Jatavis Brown,Chargers,25,2524384,631096,184384,184384,2020 UFA,,,,,,Young,#N/A,13,Jatavi,rgers,Jatavis Brown,Eagles - Kamu Grugier-Hill,Eagles - Kamu Grugier-Hill,,,
4-3-outside-linebacker,Kamu Grugier-Hill,Eagles,25,2440356,610089,100356,100356,2020 UFA,,,,,,Young,#N/A,17,Kamu G,agles,Kamu Grugier-Hill,Cowboys - George Iloka,Cowboys - George Iloka,,,
safety,George Iloka,Cowboys,29,1020000,1020000,300000,300000,2020 UFA,,,,,,Young,#N/A,12,George,wboys,George Iloka,Texans - Justin Reid,Texans - Justin Reid,,,
safety,Justin Reid,Texans,22,4063423,1015856,1036656,1039656,2022 UFA,,,,,,Young,#N/A,11,Justin,exans,Justin Reid,Bills - Mo Alexander,Bills - Mo Alexander,,,
safety,Mo Alexander,Bills,28,1000000,1000000,150000,150000,2020 UFA,,,,,,Young,#N/A,12,Mo Ale,Bills,Mo Alexander,Buccaneers - Kentrell Brice,Buccaneers - Kentrell Brice,,,
safety,Kentrell Brice,Buccaneers,25,1000000,1000000,0,0,2020 UFA,,,,,,Young,#N/A,14,Kentre,neers,Kentrell Brice,Saints - Vonn Bell,Saints - Vonn Bell,,,
safety,Vonn Bell,Saints,25,3972298,993075,1825944,1825944,2020 UFA,,,,,,Young,#N/A,9,Vonn B,aints,Vonn Bell,Titans - Kevin Byard,Titans - Kevin Byard,,,
safety,Kevin Byard,Titans,26,3634287,908572,897060,897060,2020 UFA,,,,,,Young,#N/A,11,Kevin ,itans,Kevin Byard,Falcons - J.J. Wilcox,Falcons - J.J. Wilcox,,,
safety,J.J. Wilcox,Falcons,28,895000,895000,200000,200000,2020 UFA,,,,,,Young,#N/A,11,J.J. W,lcons,J.J. Wilcox,Chargers - Jaylen Watkins,Chargers - Jaylen Watkins,,,
safety,Jaylen Watkins,Chargers,27,895000,895000,60000,60000,2020 UFA,,,,,,Young,#N/A,14,Jaylen,rgers,Jaylen Watkins,Cowboys - Dak Prescott,Cowboys - Dak Prescott,,,
quarterback,Dak Prescott,Cowboys,26,2723392,680848,383392,383392,2020 UFA,,,,,,Young,#N/A,12,Dak Pr,wboys,Dak Prescott,Jaguars - Gardner Minshew,Jaguars - Gardner Minshew,,,
quarterback,Gardner Minshew,Jaguars,23,2711616,677904,191616,191616,2023 UFA,,,,,,Young,#N/A,15,Gardne,guars,Gardner Minshew,Ravens - Trace McSorley,Ravens - Trace McSorley,,,
quarterback,Trace McSorley,Ravens,0,2680688,670172,160688,160688,2023 UFA,,,,,,Young,#N/A,14,Trace ,avens,Trace McSorley,Cowboys - Mike White,Cowboys - Mike White,,,
quarterback,Mike White,Cowboys,24,2677556,669389,217556,217556,2022 UFA,,,,,,Young,#N/A,10,Mike W,wboys,Mike White,Jets - Luke Falk,Jets - Luke Falk,,,
quarterback,Luke Falk,Jets,25,2608832,652208,148832,148832,2022 UFA,,,,,,Young,#N/A,9,Luke F,Jets,Luke Falk,Raiders - Nathan Peterman,Raiders - Nathan Peterman,,,
quarterback,Nathan Peterman,Raiders,25,645000,645000,0,0,2020 ERFA,,,,,,Young,#N/A,15,Nathan,iders,Nathan Peterman,Steelers - James Conner,Steelers - James Conner,,,
running-back,James Conner,Steelers,24,3175288,793822,706288,706288,2021 UFA,,,,,,Young,#N/A,12,James ,elers,James Conner,Seahawks - C.J. Prosise,Seahawks - C.J. Prosise,,,
running-back,C.J. Prosise,Seahawks,25,3112464,778116,692464,692464,2020 UFA,,,,,,Young,#N/A,12,C.J. P,hawks,C.J. Prosise,Falcons - Ito Smith,Falcons - Ito Smith,,,
running-back,Ito Smith,Falcons,24,3080872,770218,620872,620872,2022 UFA,,,,,,Young,#N/A,9,Ito Sm,lcons,Ito Smith,Redskins - Samaje Perine,Redskins - Samaje Perine,,,
running-back,Samaje Perine,Redskins,24,3059788,764947,659788,659788,2021 UFA,,,,,,Young,#N/A,13,Samaje,skins,Samaje Perine,Dolphins - Kalen Ballage,Dolphins - Kalen Ballage,,,
running-back,Kalen Ballage,Dolphins,24,3049180,762295,589180,589180,2022 UFA,,,,,,Young,#N/A,13,Kalen ,phins,Kalen Ballage,Vikings - Kentrell Brothers,Vikings - Kentrell Brothers,,,
inside-linebacker,Kentrell Brothers,Vikings,26,2572680,643170,232680,232680,2020 UFA,,,,,,Young,#N/A,17,Kentre,kings,Kentrell Brothers,Colts - Matthew Adams,Colts - Matthew Adams,,,
inside-linebacker,Matthew Adams,Colts,24,2561584,640396,101584,101584,2022 UFA,,,,,,Young,#N/A,13,Matthe,Colts,Matthew Adams,Vikings - Devante Downs,Vikings - Devante Downs,,,
inside-linebacker,Devante Downs,Vikings,24,2554400,638600,94400,94400,2022 UFA,,,,,,Young,#N/A,13,Devant,kings,Devante Downs,Cardinals - Tanner Vallejo,Cardinals - Tanner Vallejo,,,
inside-linebacker,Tanner Vallejo,Cardinals,25,2553812,638453,153812,153812,2021 UFA,,,,,,Young,#N/A,14,Tanner,inals,Tanner Vallejo,Panthers - Andre Smith,Panthers - Andre Smith,,,
inside-linebacker,Andre Smith,Panthers,22,2549048,637262,89048,89048,2022 UFA,,,,,,Young,#N/A,11,Andre ,thers,Andre Smith,Redskins - Josh Harvey-Clemons,Redskins - Josh Harvey-Clemons,,,
inside-linebacker,Josh Harvey-Clemons,Redskins,25,2484320,621080,84320,84320,2021 UFA,,,,,,Young,#N/A,19,Josh H,skins,Josh Harvey-Clemons,Jets - Harvey Langi,Jets - Harvey Langi,,,
inside-linebacker,Harvey Langi,Jets,27,1230000,615000,0,0,2021 ERFA,,,,,,Young,#N/A,12,Harvey,Jets,Harvey Langi,Cardinals - Drew Belcher,Cardinals - Drew Belcher,,,
tight-end,Drew Belcher,Cardinals,2020,1759000,586333,4000,4000,2022 RFA,,,,,,old,#N/A,12,Drew B,inals,Drew Belcher,Ravens - Cole Herdman,Ravens - Cole Herdman,,,
tight-end,Cole Herdman,Ravens,24,1759000,586333,4000,4000,2022 RFA,,,,,,Young,#N/A,12,Cole H,avens,Cole Herdman,Falcons - Jaelin Robinson,Falcons - Jaelin Robinson,,,
tight-end,Jaelin Robinson,Falcons,2020,1759000,586333,4000,4000,2022 RFA,,,,,,old,#N/A,15,Jaelin,lcons,Jaelin Robinson,Broncos - Austin Fort,Broncos - Austin Fort,,,
tight-end,Austin Fort,Broncos,24,1758500,586167,3500,3500,2022 RFA,,,,,,Young,#N/A,11,Austin,oncos,Austin Fort,Browns - Stephen Carlson,Browns - Stephen Carlson,,,
tight-end,Stephen Carlson,Browns,23,1757500,585833,2500,2500,2022 RFA,,,,,,Young,#N/A,15,Stephe,rowns,Stephen Carlson,Ravens - Matt Orzech,Ravens - Matt Orzech,,,
tight-end,Matt Orzech,Ravens,24,1757000,585667,2000,2000,2022 RFA,,,,,,Young,#N/A,11,Matt O,avens,Matt Orzech,Falcons - Lanard Bonner,Falcons - Lanard Bonner,,,
tight-end,Lanard Bonner,Falcons,2020,1757500,585667,2000,2000,2022 RFA,,,,,,old,#N/A,13,Lanard,lcons,Lanard Bonner,Bills - Eli Harold,Bills - Eli Harold,,,
traditional-linebacker,Eli Harold,Bills,25,895000,895000,90000,90000,2020 UFA,,,,,,Young,#N/A,10,Eli Ha,Bills,Eli Harold,Chiefs - Jeremiah Attaochu,Chiefs - Jeremiah Attaochu,,,
traditional-linebacker,Jeremiah Attaochu,Chiefs,26,895000,895000,90000,90000,2020 UFA,,,,,,Young,#N/A,17,Jeremi,hiefs,Jeremiah Attaochu,Dolphins - Mike Hull,Dolphins - Mike Hull,,,
traditional-linebacker,Mike Hull,Dolphins,28,895000,895000,90000,90000,2020 UFA,,,,,,Young,#N/A,9,Mike H,phins,Mike Hull,Falcons - Duke Riley,Falcons - Duke Riley,,,
traditional-linebacker,Duke Riley,Falcons,25,3517752,879438,889752,889752,2021 UFA,,,,,,Young,#N/A,10,Duke R,lcons,Duke Riley,Saints - Alex Anzalone,Saints - Alex Anzalone,,,
traditional-linebacker,Alex Anzalone,Saints,25,3465592,866398,864592,864592,2021 UFA,,,,,,Young,#N/A,13,Alex A,aints,Alex Anzalone,Packers - Oren Burks,Packers - Oren Burks,,,
traditional-linebacker,Oren Burks,Packers,24,3454756,863689,820756,820756,2022 UFA,,,,,,Young,#N/A,10,Oren B,ckers,Oren Burks,Texans - Johnson Bademosi,Texans - Johnson Bademosi,,,
defensive-back,Johnson Bademosi,Texans,29,6250000,3125000,3250000,3250000,2020 UFA,,,,,,Young,#N/A,16,Johnso,exans,Johnson Bademosi,Chargers - Derwin James,Chargers - Derwin James,,,
defensive-back,Derwin James,Chargers,23,12388952,3097238,12388952,12388952,2022 UFA,,,,,,Young,#N/A,12,Derwin,rgers,Derwin James,Raiders - Daryl Worley,Raiders - Daryl Worley,,,
defensive-back,Daryl Worley,Raiders,24,3095000,3095000,0,0,2020 UFA,,,,,,Young,#N/A,12,Daryl ,iders,Daryl Worley,Vikings - Anthony Harris,Vikings - Anthony Harris,,,
defensive-back,Anthony Harris,Vikings,27,3095000,3095000,0,0,2020 UFA,,,,,,Young,#N/A,14,Anthon,kings,Anthony Harris,Patriots - Jonathan Jones,Patriots - Jonathan Jones,,,
defensive-back,Jonathan Jones,Patriots,26,3095000,3095000,0,0,2020 UFA,,,,,,Young,#N/A,14,Jonath,riots,Jonathan Jones,Packers - Jaire Alexander,Packers - Jaire Alexander,,,
defensive-back,Jaire Alexander,Packers,22,12050734,3012684,12050734,12050734,2022 UFA,,,,,,Young,#N/A,15,Jaire ,ckers,Jaire Alexander,Bills - Kevin Johnson,Bills - Kevin Johnson,,,
defensive-back,Kevin Johnson,Bills,27,3000000,3000000,400000,400000,2020 UFA,,,,,,Young,#N/A,13,Kevin ,Bills,Kevin Johnson,49ers - Jason Verrett,49ers - Jason Verrett,,,
defensive-back,Jason Verrett,49ers,28,3000000,3000000,1000000,1000000,NaN,,,,,,Young,#N/A,13,Jason ,49ers,Jason Verrett,Saints - Andrus Peat,Saints - Andrus Peat,,,
offensive-line,Andrus Peat,Saints,26,11393496,2848374,11393496,11393496,2020 UFA,,,,,,Young,#N/A,11,Andrus,aints,Andrus Peat,Broncos - Garett Bolles,Broncos - Garett Bolles,,,
offensive-line,Garett Bolles,Broncos,27,11032134,2758034,11032134,11032134,2021 UFA,,,,,,Young,#N/A,13,Garett,oncos,Garett Bolles,49ers - Mike Person,49ers - Mike Person,,,
offensive-line,Mike Person,49ers,31,8250000,2750000,2700000,2450000,2022 UFA,,,,,,old,#N/A,11,Mike P,49ers,Mike Person,Seahawks - Mike Iupati,Seahawks - Mike Iupati,,,
offensive-line,Mike Iupati,Seahawks,32,2750000,2750000,2250000,2250000,2020 UFA,,,,,,old,#N/A,11,Mike I,hawks,Mike Iupati,Giants - Spencer Pulley,Giants - Spencer Pulley,,,
offensive-line,Spencer Pulley,Giants,26,8250000,2750000,2325000,2325000,2022 UFA,,,,,,Young,#N/A,14,Spence,iants,Spencer Pulley,Lions - Taylor Decker,Lions - Taylor Decker,,,
offensive-line,Taylor Decker,Lions,25,10966978,2741745,10966978,10966978,2021 UFA,,,,,,Young,#N/A,13,Taylor,Lions,Taylor Decker,Colts - Ryan Kelly,Colts - Ryan Kelly,,,
offensive-line,Ryan Kelly,Colts,26,10450986,2612747,10450986,10450986,2021 UFA,,,,,,Young,#N/A,10,Ryan K,Colts,Ryan Kelly,Vikings - Ade Aruna,Vikings - Ade Aruna,,,
edge-rusher,Ade Aruna,Vikings,25,2578408,644602,118408,118408,2022 UFA,,,,,,Young,#N/A,9,Ade Ar,kings,Ade Aruna,49ers - Jullian Taylor,49ers - Jullian Taylor,,,
edge-rusher,Jullian Taylor,49ers,24,2558044,639511,98044,98044,2022 UFA,,,,,,Young,#N/A,14,Jullia,49ers,Jullian Taylor,Rams - Justin Lawler,Rams - Justin Lawler,,,
edge-rusher,Justin Lawler,Rams,25,2533740,633435,73740,73740,2022 UFA,,,,,,Young,#N/A,13,Justin,Rams,Justin Lawler,Browns - Anthony Zettel,Browns - Anthony Zettel,,,
edge-rusher,Anthony Zettel,Browns,27,2463724,615931,123724,123724,2020 UFA,,,,,,Young,#N/A,14,Anthon,rowns,Anthony Zettel,Falcons - Chris Odom,Falcons - Chris Odom,,,
edge-rusher,Chris Odom,Falcons,25,1230000,615000,0,0,2021 RFA,,,,,,Young,#N/A,10,Chris ,lcons,Chris Odom,Buccaneers - Demone Harris,Buccaneers - Demone Harris,,,
edge-rusher,Demone Harris,Buccaneers,24,1230000,615000,0,0,2021 ERFA,,,,,,Young,#N/A,13,Demone,neers,Demone Harris,Giants - RJ McIntosh,Giants - RJ McIntosh,,,
interior-defensive-line,RJ McIntosh,Giants,23,2781468,695367,321468,321468,2022 UFA,,,,,,Young,#N/A,11,RJ McI,iants,RJ McIntosh,Raiders - Maurice Hurst,Raiders - Maurice Hurst,,,
interior-defensive-line,Maurice Hurst,Raiders,24,2779044,694761,319044,319044,2022 UFA,,,,,,Young,#N/A,13,Mauric,iders,Maurice Hurst,Bills - Kyle Peko,Bills - Kyle Peko,,,
interior-defensive-line,Kyle Peko,Bills,26,1380000,690000,0,0,2021 RFA,,,,,,Young,#N/A,9,Kyle P,Bills,Kyle Peko,Texans - Chris Landrum,Texans - Chris Landrum,,,
interior-defensive-line,Chris Landrum,Texans,27,1380000,690000,0,0,2021 UFA,,,,,,Young,#N/A,13,Chris ,exans,Chris Landrum,Dolphins - Joey Mbu,Dolphins - Joey Mbu,,,
interior-defensive-line,Joey Mbu,Dolphins,26,1380000,690000,0,0,2021 RFA,,,,,,Young,#N/A,8,Joey M,phins,Joey Mbu,Texans - Tyrell Adams,Texans - Tyrell Adams,,,
linebacker,Tyrell Adams,Texans,27,2230000,743333,0,0,2021 UFA,,,,,,Young,#N/A,12,Tyrell,exans,Tyrell Adams,Giants - B.J. Goodson,Giants - B.J. Goodson,,,
linebacker,B.J. Goodson,Giants,26,2922208,730552,582208,582208,2020 UFA,,,,,,Young,#N/A,12,B.J. G,iants,B.J. Goodson,Bears - Nick Kwiatkoski,Bears - Nick Kwiatkoski,,,
linebacker,Nick Kwiatkoski,Bears,26,2915120,728780,575120,575120,2020 UFA,,,,,,Young,#N/A,15,Nick K,Bears,Nick Kwiatkoski,Panthers - Marquis Haynes,Panthers - Marquis Haynes,,,
linebacker,Marquis Haynes,Panthers,26,2912356,728089,452356,452356,2022 UFA,,,,,,Young,#N/A,14,Marqui,thers,Marquis Haynes,Falcons - De’Vondre Campbell,Falcons - DeaVondre Campbell,,,
linebacker,De’Vondre Campbell,Falcons,26,2905528,726382,565528,565528,2020 UFA,,,,,,Young,#N/A,20,De’V,lcons,De’Vondre Campbell,Cowboys - Justin March-Lillard,Cowboys - Justin March-Lillard,,,
linebacker,Justin March-Lillard,Cowboys,26,720000,720000,0,0,2020 UFA,,,,,,Young,#N/A,20,Justin,wboys,Justin March-Lillard,Patriots - Shilique Calhoun,Patriots - Shilique Calhoun,,,
linebacker,Shilique Calhoun,Patriots,27,720000,720000,0,0,2020 UFA,,,,,,Young,#N/A,16,Shiliq,riots,Shilique Calhoun,Giants - Jonathan Anderson,Giants - Jonathan Anderson,,,
linebacker,Jonathan Anderson,Giants,28,720000,720000,0,0,2020 UFA,,,,,,Young,#N/A,17,Jonath,iants,Jonathan Anderson,Seahawks - Rasheem Green,Seahawks - Rasheem Green,,,
defensive-line,Rasheem Green,Seahawks,22,3572556,893139,912556,912556,2022 UFA,,,,,,Young,#N/A,13,Rashee,hawks,Rasheem Green,Ravens - Chris Wormley,Ravens - Chris Wormley,,,
defensive-line,Chris Wormley,Ravens,26,3559644,889911,898644,898644,2021 UFA,,,,,,Young,#N/A,13,Chris ,avens,Chris Wormley,Cowboys - Maliek Collins,Cowboys - Maliek Collins,,,
defensive-line,Maliek Collins,Cowboys,24,3550180,887545,881152,881152,2020 UFA,,,,,,Young,#N/A,14,Maliek,wboys,Maliek Collins,Dolphins - Tank Carradine,Dolphins - Tank Carradine,,,
defensive-line,Tank Carradine,Dolphins,30,880000,880000,0,0,2020 UFA,,,,,,Young,Thirty,14,Tank C,phins,Tank Carradine,Jaguars - Yannick Ngakoue,Jaguars - Yannick Ngakoue,,,
defensive-line,Yannick Ngakoue,Jaguars,24,3480587,870147,856176,856176,2020 UFA,,,,,,Young,#N/A,15,Yannic,guars,Yannick Ngakoue,Chargers - Justin Jones,Chargers - Justin Jones,,,
defensive-line,Justin Jones,Chargers,23,3476140,869035,854140,854140,2022 UFA,,,,,,Young,#N/A,12,Justin,rgers,Justin Jones,Falcons - Deadrin Senat,Falcons - Deadrin Senat,,,
defensive-line,Deadrin Senat,Falcons,25,3422960,855740,817960,817960,2022 UFA,,,,,,Young,#N/A,13,Deadri,lcons,Deadrin Senat,Raiders - Dwayne Harris,Raiders - Dwayne Harris,,,
wide-receiver,Dwayne Harris,Raiders,32,1600000,1600000,275000,275000,2020 UFA,,,,,,old,#N/A,13,Dwayne,iders,Dwayne Harris,Patriots - Dontrelle Inman,Patriots - Dontrelle Inman,,,
wide-receiver,Dontrelle Inman,Patriots,30,1500000,1500000,300000,300000,2020 UFA,,,,,,Young,Thirty,15,Dontre,riots,Dontrelle Inman,Cardinals - Kevin White,Cardinals - Kevin White,,,
wide-receiver,Kevin White,Cardinals,27,1500000,1500000,400000,400000,2020 UFA,,,,,,Young,#N/A,11,Kevin ,inals,Kevin White,Giants - Cody Latimer,Giants - Cody Latimer,,,
wide-receiver,Cody Latimer,Giants,27,1500000,1500000,400000,400000,2020 UFA,,,,,,Young,#N/A,12,Cody L,iants,Cody Latimer,Giants - Russell Shepard,Giants - Russell Shepard,,,
wide-receiver,Russell Shepard,Giants,29,1500000,1500000,700000,700000,2020 UFA,,,,,,Young,#N/A,15,Russel,iants,Russell Shepard,Patriots - Joejuan Williams,Patriots - Joejuan Williams,,,
cornerback,Joejuan Williams,Patriots,0,6626656,1656664,4130596,4130596,2023 UFA,,,,,,Young,#N/A,16,Joejua,riots,Joejuan Williams,Browns - Greedy Williams,Browns - Greedy Williams,,,
cornerback,Greedy Williams,Browns,0,6458676,1614669,2717220,2717220,2023 UFA,,,,,,Young,#N/A,15,Greedy,rowns,Greedy Williams,Packers - Josh Jackson,Packers - Josh Jackson,,,
cornerback,Josh Jackson,Packers,23,6256100,1564025,3874260,3874260,2022 UFA,,,,,,Young,#N/A,12,Josh J,ckers,Josh Jackson,Eagles - Sidney Jones,Eagles - Sidney Jones,,,
cornerback,Sidney Jones,Eagles,23,6140068,1535017,3814598,3814598,2021 UFA,,,,,,Young,#N/A,12,Sidney,agles,Sidney Jones,Colts - Chris Milton,Colts - Chris Milton,,,
cornerback,Chris Milton,Colts,27,1500000,1500000,600000,600000,2020 UFA,,,,,,Young,#N/A,12,Chris ,Colts,Chris Milton,Colts - Quincy Wilson,Colts - Quincy Wilson,,,
cornerback,Quincy Wilson,Colts,23,5766262,1441566,3525747,3525747,2021 UFA,,,,,,Young,#N/A,13,Quincy,Colts,Quincy Wilson,Cardinals - Tramaine Brock,Cardinals - Tramaine Brock,,,
cornerback,Tramaine Brock,Cardinals,31,1350000,1350000,500000,500000,2020 UFA,,,,,,old,#N/A,14,Tramai,inals,Tramaine Brock,Texans - Lonnie Johnson Jr.,Texans - Lonnie Johnson Jr.,,,
cornerback,Lonnie Johnson Jr.,Texans,22,5214132,1303533,3039119,3039119,2023 UFA,,,,,,Young,#N/A,18,Lonnie,exans,Lonnie Johnson Jr.,Eagles - Nate Gerry,Eagles - Nate Gerry,,,
4-3-outside-linebacker,Nate Gerry,Eagles,24,2400000,600000,0,0,2021 UFA,,,,,,Young,#N/A,10,Nate G,agles,Nate Gerry,Cardinals - Vontarrius Dora,Cardinals - Vontarrius Dora,,,
4-3-outside-linebacker,Vontarrius Dora,Cardinals,27,1200000,600000,0,0,2020 ERFA,,,,,,Young,#N/A,15,Vontar,inals,Vontarrius Dora,Cardinals - Joe Walker,Cardinals - Joe Walker,,,
4-3-outside-linebacker,Joe Walker,Cardinals,27,1200000,600000,0,0,2020 UFA,,,,,,Young,#N/A,10,Joe Wa,inals,Joe Walker,Jaguars - James Onwualu,Jaguars - James Onwualu,,,
4-3-outside-linebacker,James Onwualu,Jaguars,25,1200000,600000,0,0,2020 ERFA,,,,,,Young,#N/A,13,James ,guars,James Onwualu,Bills - Tyrel Dodson,Bills - Tyrel Dodson,,,
4-3-outside-linebacker,Tyrel Dodson,Bills,2020,1780000,593333,75000,75000,2022 RFA,,,,,,old,#N/A,12,Tyrel ,Bills,Tyrel Dodson,49ers - Azeez Al-Shaair,49ers - Azeez Al-Shaair,,,
4-3-outside-linebacker,Azeez Al-Shaair,49ers,1,1770000,590000,65000,65000,2022 RFA,,,,,,Young,#N/A,15,Azeez ,49ers,Azeez Al-Shaair,Bengals - Curtis Akins,Bengals - Curtis Akins,,,
4-3-outside-linebacker,Curtis Akins,Bengals,2020,1765000,588333,10000,10000,2022 RFA,,,,,,old,#N/A,12,Curtis,ngals,Curtis Akins,Raiders - Jordan Richards,Raiders - Jordan Richards,,,
safety,Jordan Richards,Raiders,26,895000,895000,45000,45000,2020 UFA,,,,,,Young,#N/A,15,Jordan,iders,Jordan Richards,Falcons - Kemal Ishmael,Falcons - Kemal Ishmael,,,
safety,Kemal Ishmael,Falcons,28,895000,895000,90000,90000,2020 UFA,,,,,,Young,#N/A,13,Kemal ,lcons,Kemal Ishmael,Cardinals - Josh Shaw,Cardinals - Josh Shaw,,,
safety,Josh Shaw,Cardinals,27,895000,895000,90000,45000,2020 UFA,,,,,,Young,#N/A,9,Josh S,inals,Josh Shaw,Lions - Tracy Walker,Lions - Tracy Walker,,,
safety,Tracy Walker,Lions,24,3511988,877997,881988,881988,2022 UFA,,,,,,Young,#N/A,12,Tracy ,Lions,Tracy Walker,Lions - Will Harris,Lions - Will Harris,,,
safety,Will Harris,Lions,0,3480872,870218,0,0,2020 ERFA,,,,,,Young,#N/A,11,Will H,Lions,Will Harris,Panthers - Rashaan Gaulden,Panthers - Rashaan Gaulden,,,
safety,Rashaan Gaulden,Panthers,24,3449906,862477,847656,847656,2022 UFA,,,,,,Young,#N/A,15,Rashaa,thers,Rashaan Gaulden,Jets - Davis Webb,Jets - Davis Webb,,,
quarterback,Davis Webb,Jets,24,645000,645000,0,0,2020 RFA,,,,,,Young,#N/A,10,Davis ,Jets,Davis Webb,Dolphins - Jake Rudock,Dolphins - Jake Rudock,,,
quarterback,Jake Rudock,Dolphins,26,645000,645000,0,0,2020 RFA,,,,,,Young,#N/A,11,Jake R,phins,Jake Rudock,Chargers - Cardale Jones,Chargers - Cardale Jones,,,
quarterback,Cardale Jones,Chargers,27,645000,645000,0,0,2020 RFA,,,,,,Young,#N/A,13,Cardal,rgers,Cardale Jones,Seahawks - Paxton Lynch,Seahawks - Paxton Lynch,,,
quarterback,Paxton Lynch,Seahawks,25,645000,645000,0,0,2020 RFA,,,,,,Young,#N/A,12,Paxton,hawks,Paxton Lynch,Rams - Brandon Allen,Rams - Brandon Allen,,,
quarterback,Brandon Allen,Rams,27,645000,645000,0,0,2020 RFA,,,,,,Young,#N/A,13,Brando,Rams,Brandon Allen,Jaguars - Alex McGough,Jaguars - Alex McGough,,,
quarterback,Alex McGough,Jaguars,24,1280000,640000,75000,75000,2021 ERFA,,,,,,Young,#N/A,12,Alex M,guars,Alex McGough,Bears - Tarik Cohen,Bears - Tarik Cohen,,,
running-back,Tarik Cohen,Bears,24,3033156,758289,633156,633156,2021 UFA,,,,,,Young,#N/A,11,Tarik ,Bears,Tarik Cohen,Packers - Kapri Bibbs,Packers - Kapri Bibbs,,,
running-back,Kapri Bibbs,Packers,26,1510000,755000,0,0,2020 RFA,,,,,,Young,#N/A,11,Kapri ,ckers,Kapri Bibbs,Packers - Jamaal Williams,Packers - Jamaal Williams,,,
running-back,Jamaal Williams,Packers,24,2965992,741498,565992,565992,2021 UFA,,,,,,Young,#N/A,15,Jamaal,ckers,Jamaal Williams,Cardinals - Chase Edmonds,Cardinals - Chase Edmonds,,,
running-back,Chase Edmonds,Cardinals,23,2912356,728089,452356,452356,2022 UFA,,,,,,Young,#N/A,13,Chase ,inals,Chase Edmonds,Redskins - Byron Marshall,Redskins - Byron Marshall,,,
running-back,Byron Marshall,Redskins,25,720000,720000,0,0,2020 RFA,,,,,,Young,#N/A,14,Byron ,skins,Byron Marshall,Ravens - Tyler Ervin,Ravens - Tyler Ervin,,,
running-back,Tyler Ervin,Ravens,26,720000,720000,0,0,2020 UFA,,,,,,Young,#N/A,11,Tyler ,avens,Tyler Ervin,Titans - David Fluellen,Titans - David Fluellen,,,
running-back,David Fluellen,Titans,27,720000,720000,0,0,2020 RFA,,,,,,Young,#N/A,14,David ,itans,David Fluellen,Broncos - A.J. Johnson,Broncos - A.J. Johnson,,,
inside-linebacker,A.J. Johnson,Broncos,28,1230000,615000,0,0,2021 ERFA,,,,,,Young,#N/A,12,A.J. J,oncos,A.J. Johnson,Packers - Blake Martinez,Packers - Blake Martinez,,,
inside-linebacker,Blake Martinez,Packers,25,2453388,613347,383392,383392,2020 UFA,,,,,,Young,#N/A,14,Blake ,ckers,Blake Martinez,Patriots - Elandon Roberts,Patriots - Elandon Roberts,,,
inside-linebacker,Elandon Roberts,Patriots,25,2440356,610089,100356,100356,2019 RFA,,,,,,Young,#N/A,15,Elando,riots,Elandon Roberts,Steelers - Tyler Matakevich,Steelers - Tyler Matakevich,,,
inside-linebacker,Tyler Matakevich,Steelers,27,2403052,600763,63052,63052,2020 UFA,,,,,,Young,#N/A,16,Tyler ,elers,Tyler Matakevich,Titans - Riley Bullough,Titans - Riley Bullough,,,
inside-linebacker,Riley Bullough,Titans,26,1200000,600000,0,0,2020 ERFA,,,,,,Young,#N/A,14,Riley ,itans,Riley Bullough,Titans - LaTroy Lewis,Titans - LaTroy Lewis,,,
inside-linebacker,LaTroy Lewis,Titans,26,1785000,595000,0,0,2021 RFA,,,,,,Young,#N/A,12,LaTroy,itans,LaTroy Lewis,Titans - Nigel Harris,Titans - Nigel Harris,,,
inside-linebacker,Nigel Harris,Titans,25,1785000,595000,0,0,2021 RFA,,,,,,Young,#N/A,12,Nigel ,itans,Nigel Harris,Broncos - Malik Reed,Broncos - Malik Reed,,,
