Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
39,Asmir Begović,ba BIH,GK,Everton,35,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7b4de647
40,Armel Bella Kotchap,de GER,DF,Southampton,20,6,6,540,6,0,1,0,0,0,1,0,0,0.17,0.17,0,0.17,0.6,0.6,0.1,0.7,0.1,0.01,0.11,0.1,0.11,Matches,a39d11bc
41,Saïd Benrahma,dz ALG,MFFW,West Ham,27,7,3,355,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,1,1.3,0.09,0.24,0.33,0.09,0.33,Matches,5a04fd92
42,Rodrigo Bentancur,uy URU,MF,Tottenham,25,6,6,522,5.8,1,1,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34,0.4,0.4,0.3,0.7,0.07,0.06,0.13,0.07,0.13,Matches,3b8674e6
43,Owen Bevan,wls WAL,DF,Bournemouth,18,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,87966294
44,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,de40e38c
45,Philip Billing,dk DEN,MFFW,Bournemouth,26,7,5,480,5.3,2,0,2,0,0,1,0,0.37,0,0.37,0.37,0.37,0.2,0.2,0.3,0.5,0.04,0.05,0.09,0.04,0.09,Matches,d328a254
46,Yves Bissouma,ml MLI,MF,Tottenham,26,6,1,141,1.6,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.07,0.12,0.04,0.12,Matches,6c203af0
47,Willy Boly,ci CIV,DF,Nott'ham Forest,31,1,1,62,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a4ac4b8f
48,Sven Botman,nl NED,DF,Newcastle Utd,22,5,4,361,4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.9,0.11,0.1,0.21,0.11,0.21,Matches,ccce7025
49,Jarrod Bowen,eng ENG,FW,West Ham,25,7,7,623,6.9,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0.4,1.5,0.16,0.06,0.22,0.16,0.22,Matches,79c84d1c
50,Armando Broja,al ALB,FW,Chelsea,21,4,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.45,0,0.45,0.45,0.45,Matches,97220da2
51,Emi Buendía,ar ARG,FWMF,Aston Villa,25,7,2,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,1.3,1.3,0.1,1.5,0.45,0.05,0.49,0.45,0.49,Matches,66b76d44
52,Dan Burn,eng ENG,DF,Newcastle Utd,30,7,6,525,5.8,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.07,0.02,0.09,0.07,0.09,Matches,b2d31e83
53,Cafú,pt POR,MF,Nott'ham Forest,29,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,85322440
54,Moisés Caicedo,ec ECU,MF,Brighton,20,6,6,527,5.9,1,0,1,0,0,0,0,0.17,0,0.17,0.17,0.17,0.3,0.3,0.2,0.5,0.06,0.04,0.09,0.06,0.09,Matches,16264a81
55,Tom Cairney,sct SCO,MF,Fulham,31,7,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.17,0.17,0.34,0.17,0.34,Matches,a8748947
56,Chem Campbell,wls WAL,FWMF,Wolves,19,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6f711f67
57,João Cancelo,pt POR,DF,Manchester City,28,7,7,577,6.4,1,0,1,0,0,2,0,0.16,0,0.16,0.16,0.16,0.3,0.3,0.3,0.6,0.04,0.05,0.09,0.04,0.09,Matches,bd6351cd
58,Diego Carlos,br BRA,DF,Aston Villa,29,2,2,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.13,0,0.13,0.13,0.13,Matches,b4a014b1
59,Fabio Carvalho,pt POR,MFFW,Liverpool,20,6,1,153,1.7,2,0,2,0,0,0,0,1.18,0,1.18,1.18,1.18,0.7,0.7,0,0.7,0.39,0,0.39,0.39,0.39,Matches,966e28d0
60,Casemiro,br BRA,MF,Manchester Utd,30,3,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4d224fe8
61,Matty Cash,pl POL,DF,Aston Villa,25,6,6,475,5.3,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.02,0.06,0.08,0.02,0.08,Matches,2389cdc2
62,Timothy Castagne,be BEL,DF,Leicester City,26,6,5,495,5.5,1,1,1,0,0,0,0,0.18,0.18,0.36,0.18,0.36,0.4,0.4,0.1,0.5,0.07,0.02,0.09,0.07,0.09,Matches,197640fd
63,Jonny Castro,es ESP,DF,Wolves,28,7,7,617,6.9,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.02,0,0.02,0.02,0.02,Matches,e28868f3
64,Nathaniel Chalobah,eng ENG,MF,Fulham,27,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3.09,0,3.09,3.09,3.09,Matches,422862ea
65,Trevoh Chalobah,eng ENG,DF,Chelsea,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5515376c
66,Calum Chambers,eng ENG,DF,Aston Villa,27,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,dc6f5bdd
67,Ben Chilwell,eng ENG,DF,Chelsea,25,5,1,122,1.4,1,1,1,0,0,0,0,0.74,0.74,1.48,0.74,1.48,0.2,0.2,0.1,0.2,0.11,0.06,0.17,0.11,0.17,Matches,d2424d1b
68,Ryan Christie,sct SCO,MFFW,Bournemouth,27,7,5,393,4.4,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.3,0.8,0.12,0.06,0.18,0.12,0.18,Matches,26ce2263
69,Bobby Clark,eng ENG,MF,Liverpool,17,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,73341ace
70,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,5,4,371,4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02,Matches,0442183b
71,Conor Coady,eng ENG,DF,Everton,29,6,6,530,5.9,0,1,0,0,0,1,0,0,0.17,0.17,0,0.17,0.2,0.2,0.3,0.5,0.03,0.06,0.08,0.03,0.08,Matches,2928dca2
72,Jack Colback,eng ENG,MF,Nott'ham Forest,32,3,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0.04,0,0.04,Matches,963a9201
73,Nathan Collins,ie IRL,DF,Wolves,21,7,7,572,6.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01,Matches,a8c19eb8
74,Levi Colwill,eng ENG,DF,Brighton,19,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7.01E+12
75,Lewis Cook,eng ENG,MF,Bournemouth,25,7,5,473,5.3,0,1,0,0,0,0,0,0,0.19,0.19,0,0.19,0,0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches,2afc7272
76,Steve Cook,eng ENG,DF,Nott'ham Forest,31,5,4,328,3.6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0.04,0,0.04,Matches,3e5e4e63
77,Maxwel Cornet,ci CIV,FW,West Ham,25,4,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.73,0,0.73,0.73,0.73,Matches,beb391dd
78,Vladimír Coufal,cz CZE,DF,West Ham,30,7,6,592,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.01,0.05,0.06,0.01,0.06,Matches,fdf3cb77
79,Philippe Coutinho,br BRA,MFFW,Aston Villa,30,7,4,349,3.9,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.3,0.7,0.09,0.09,0.17,0.09,0.17,Matches,0ef89a37
80,Conor Coventry,ie IRL,MF,West Ham,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a5ca9127
81,Aaron Cresswell,eng ENG,DF,West Ham,32,6,6,520,5.8,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.8,1,0.04,0.13,0.17,0.04,0.17,Matches,4f974391
82,Marc Cucurella,es ESP,DF,Chelsea,24,6,5,446,5,0,2,0,0,0,2,0,0,0.4,0.4,0,0.4,0.2,0.2,0.4,0.6,0.04,0.08,0.12,0.04,0.12,Matches,1daec722
